month_utc,provider,calls,errors,cost_usd,first_call_at,last_call_at
2026-05,segmind,873,76,978.644,2026-05-01T14:00:08.010329+00:00,2026-05-31T13:52:12.505862+00:00
2026-04,segmind,308,151,145.33,2026-04-14T05:56:47+00:00,2026-04-30T07:36:24.924012+00:00
2026-05,vertex,103,0,114.6,2026-05-01T08:53:39.670348+00:00,2026-05-02T12:05:58.510939+00:00
2026-06,segmind,49,2,70.08,2026-06-01T08:05:04.424655+00:00,2026-06-01T12:51:28.396329+00:00
2026-04,vertex,1,0,0.8,2026-04-24T08:23:10.481439+00:00,2026-04-24T08:23:10.481439+00:00
