week_start_utc,provider,model,calls,errors,cost_usd,first_call_at,last_call_at
2026-06-01,segmind,seedance-2.0-fast,573,37,1019.372,2026-06-01T08:05:04.424655+00:00,2026-06-07T20:09:38.581721+00:00
2026-05-25,segmind,seedance-2.0-fast,315,27,532.9,2026-05-25T05:17:09.938279+00:00,2026-05-31T13:52:12.505862+00:00
2026-05-11,segmind,seedance-2.0-fast,121,5,186.15,2026-05-11T06:36:26.816485+00:00,2026-05-13T04:41:39.099847+00:00
2026-05-18,segmind,seedance-2.0-fast,69,0,131.254,2026-05-20T10:53:48.136964+00:00,2026-05-24T07:57:32.354202+00:00
2026-05-04,segmind,seedance-2.0-fast,72,9,107.31,2026-05-07T14:45:41.786179+00:00,2026-05-09T12:08:04.864882+00:00
2026-04-27,vertex,vertex:veo-3.1-generate-001,51,0,77.2,2026-05-02T05:40:43.85248+00:00,2026-05-02T09:27:40.378436+00:00
2026-04-20,segmind,veo-3.1-fast,95,14,64.8,2026-04-21T11:33:17.736641+00:00,2026-04-24T07:48:55.061489+00:00
2026-04-20,segmind,seedance-2.0-fast,38,7,43.07,2026-04-21T09:09:06.712582+00:00,2026-04-24T08:38:59.663803+00:00
2026-04-27,vertex,vertex:veo-3.1-fast-generate-001,52,0,37.4,2026-05-01T08:53:39.670348+00:00,2026-05-02T12:05:58.510939+00:00
2026-06-01,segmind,nano-banana-2,649,3,20.83,2026-06-05T09:41:38.440146+00:00,2026-06-07T20:05:50.48928+00:00
2026-04-13,segmind,veo-3.1-fast,30,14,12.8,2026-04-16T15:37:07.741193+00:00,2026-04-18T09:30:58.62714+00:00
2026-04-27,segmind,seedance-2.0-fast,9,0,11.68,2026-05-01T14:00:08.010329+00:00,2026-05-01T14:05:27.890075+00:00
2026-04-27,segmind,veo-3.1-fast,13,2,8.8,2026-04-30T07:33:34.898886+00:00,2026-05-02T06:03:07.62812+00:00
2026-05-11,segmind,nano-banana-2,264,31,7.22,2026-05-11T08:52:51.934812+00:00,2026-05-13T06:22:50.238633+00:00
2026-04-13,segmind,veo-3.1-fast-generate-preview,8,0,6.4,2026-04-14T05:56:47+00:00,2026-04-15T12:12:13+00:00
2026-04-13,segmind,veo-3.0-fast-generate-001,4,0,3.2,2026-04-15T14:13:31+00:00,2026-04-15T14:22:04+00:00
2026-04-13,segmind,veo-3.1-fast-generate-001,4,0,3.2,2026-04-16T04:27:09+00:00,2026-04-16T04:43:37+00:00
2026-05-04,segmind,veo-3.1-fast,2,0,1.6,2026-05-09T06:12:50.374723+00:00,2026-05-09T06:43:26.522331+00:00
2026-04-13,segmind,veo-3.1-generate-preview,1,0,1.6,2026-04-16T11:23:02.37459+00:00,2026-04-16T11:23:02.37459+00:00
2026-04-13,segmind,seedance-2.0-fast,9,8,1.46,2026-04-18T08:31:38.084051+00:00,2026-04-18T12:17:44.811865+00:00
2026-04-20,vertex,vertex:veo-3.1-fast-generate-001,1,0,0.8,2026-04-24T08:23:10.481439+00:00,2026-04-24T08:23:10.481439+00:00
2026-05-04,segmind,nano-banana-2,17,0,0.53,2026-05-08T07:49:41.569125+00:00,2026-05-08T08:00:20.544787+00:00
2026-04-13,segmind,veo-3.1,80,80,0,2026-04-15T09:12:38+00:00,2026-04-18T05:14:22.167014+00:00
2026-04-13,segmind,veo-3.0-fast,14,14,0,2026-04-16T11:24:42.554025+00:00,2026-04-18T08:28:04.350578+00:00
2026-04-20,segmind,veo-3.1,11,11,0,2026-04-21T08:51:18.36954+00:00,2026-04-24T06:53:00.268962+00:00
2026-04-13,segmind,seedance-2.0,3,3,0,2026-04-18T08:33:59.179841+00:00,2026-04-18T08:34:36.034044+00:00
2026-04-27,segmind,veo-3.1,2,2,0,2026-05-02T08:45:32.859166+00:00,2026-05-02T08:58:20.501202+00:00
2026-06-01,segmind,seedance-2.0,1,1,0,2026-06-02T14:39:44.366367+00:00,2026-06-02T14:39:44.366367+00:00
